id;nombre;tags;descripcion
0;El Tonto;Bueno;El sol detrás del tonto sugiere el único espíritu divino que llena de vida toda la creación. El tonto se baja del acantilado: El alma está a punto de tomar un nuevo cuerpo y una nueva vida. El niño divino es enviado desde lo alto para traer elevación espiritual a la humanidad.
1;El Mago;Malo;"Los gestos de la mano del mago comunican el antiguo axioma hermético, “Como arriba, así abajo; como abajo, así arriba”. Cada personalidad humana o ego es un vehículo, medio o canal a través del cual se manifiesta el único espíritu divino. El mago es su conciencia consciente de sí mismo como individuo. Su varita indica las partes que la intención y la atención sirven para llevar tus deseos a la forma. Las cuatro herramientas de su mesa simbolizan el cuádruple proceso de creación: inspiración (varita), imaginación (copa), discriminación (espada) y manifestación (pentáculo)."
2;La Sacerdotisa;Bueno;La sacerdotisa representa la neutralidad completa, ya que está sentada entre los pilares de las polaridades positiva y negativa. Su pergamino sugiere que lleva un registro de todo lo que le ha ocurrido a usted y a la raza humana. La receptividad de la sacerdotisa es su subconsciente personal y el inconsciente colectivo enrollado en uno.
3;La Emperatriz;Bueno; Los exuberantes redondeos sugieren que la emperatriz es tanto la Madre Naturaleza como la parte materna o de crianza. Su cuerpo embarazado implica que está llena del deseo de dar forma a sus hijos, simbolizando sus pasiones. La emperatriz es su imaginación creativa – cuando está llena del deseo de crear algo, debe estar dispuesta a nutrirlo y nutrirlo durante el nacimiento y después. Si no lo haces, muere o permanece en el reino de los deseos y las fantasías. Ella es también la Madre Divina.
4;El Emperador;Bueno;El emperador sostiene un globo terráqueo en su mano izquierda, que simboliza cómo vigila de forma innata -gobernando y regulando amorosamente- el mundo que su homóloga, la emperatriz, ha hecho existir. Su larga barba blanca sugiere al “Anciano de los Días”, el Padre Divino. El emperador es la parte de ti que es observadora, real, organizada y discipulado, intimando que sin estas cualidades, la creatividad está en cortocircuito y no da frutos.
5;El Hierofante;Malo; Como la alta sacerdotisa, el hierofante se sienta entre pilares gemelos que significan neutralidad. Este simbolismo es tan importante que se reitera cuando se sienta sobre el suelo de baldosas blancas y negras. Pedir una guía interior y luego estar abierto a recibirla, sin importar la guía, es el principio que significan los monjes (las partes consciente y subconsciente de ti) arrodillados a los pies del hierofante. La mano del hierofante señala “estate quieto y escucha”, diciéndote que escuches la verdad dentro de tu corazón de corazones.
6;Los Amantes;Bueno; El arcángel Rafael, “Sanador del Altísimo”, levanta sus manos en señal de bendición, sugiriendo la totalidad que resulta de que las mujeres abracen su masculinidad y los hombres su feminidad. La similitud de la carta con el Jardín del Edén significa que la conciencia de uno mismo, la conciencia de uno mismo como individuo (autoconciencia), es el primer paso hacia la iluminación. El hombre mira a la mujer, sugiriendo cómo su personalidad tiende a volverse hacia su subconsciente para sus respuestas. La mujer mira a Rafael, indicando que el amor propio y la aceptación son necesarios para las relaciones amorosas. La tarjeta insinúa que las relaciones tienen una cualidad recíproca que lleva a la autocuración. Ya sea que las comunicaciones se originen en ti o en otros, son catalizadores que pueden elevar tu conciencia y la de los demás.
7;El Carro;Bueno;El carro simboliza el cuerpo humano o vehículo en el que se realiza el viaje espiritual por la vida. El agua en el fondo muestra que el carro debe dejar su casa, o lo que es familiar, para encontrar su alma superior, espíritu, el Yo. El carro tiene la impresión de que dirige su vida, pero el dosel de estrellas sobre la cabeza insinúa que la divinidad tiene prioridad sobre todo. Su posición por encima y entre las esfinges blancas y negras sugiere que el cuadriguero está aprendiendo a ver el éxito y el fracaso como dos caras de la misma moneda del autoconocimiento.
8;La Fuerza;Bueno;"Una mujer vestida de blanco, símbolo de la parte pura y evolucionada de ti, se acerca amorosamente a la bestia salvaje, la parte bestial o no evolucionada de ti. La criatura responde lamiendo su mano. La fuerza sugiere lo que se necesita para abrazarte completamente. Todo el mundo tiene una bestia, o cualidades inmaduras, dentro de nosotros. La carta sugiere que hacerse amigo, poseer y/o reconocer estas partes de ti te hace una persona completa. Esto no significa que dejes a la bestia correr libremente; significa que la parte madura de ti, amorosamente, pero firmemente, la guía."
9;El Ermitaño;Malo;El ermitaño se para en la cima de una montaña, dando a entender que tiene una visión objetiva o sabia de lo que ocurre en el mundo de abajo. Sostiene voluntariamente una linterna en su mano derecha o consciente, sugiriendo que es consciente de ser portador del rey de la sabiduría y el entendimiento en la oscuridad de la confusión y la ignorancia. La varita en su mano izquierda o subconsciente implica que ha asimilado sus experiencias de vida y sirve de inspiración a otros. Además de animar a los que atraviesan la montaña a una conciencia más elevada, su presencia afirma que la ayuda, si se busca, está siempre disponible.
10;Rueda de la Fortuna;Malo;Cuatro guardianes alados rodean la rueda, indicando que toda la fortuna viene de arriba. El serpenteo del conocimiento sugiere que los altibajos de la vida traen consigo el potencial de conocerse a sí mismo más plenamente. El guardián con cabeza de chacal del inframundo, Anubis, sobre el que la rueda parece descansar, te recuerda que aunque los tiempos oscuros son una parte natural del ciclo de la vida, la divinidad siempre viaja contigo. Una esfinge, guardiana de los misterios, se sienta fuera de la rueda, observando el ciclo de la creación a través de sus etapas de nacimiento, vida, muerte y renacimiento – las ruedas dentro de las ruedas. La colocación del guardián, encima de la rueda, sugiere el desarrollo de la conciencia de testigo, un estado que lleva la calma y la perspectiva en medio de la vida que sigue su curso.
11;La Justicia;Bueno;Como la sacerdotisa y el hierofante, la justicia se sienta entre pilares gemelos que sugieren neutralidad y una perspectiva bien equilibrada. Sosteniendo una balanza en su mano derecha y la espada de la disolución en la izquierda, la justicia sopesa o calcula los posibles resultados de sus acciones antes de tomarlas. Después de decidir que está dispuesta a asumir la responsabilidad de lo que podría suceder, actúa con la fe de que su curso de acción elegido se equilibrará con el tiempo. El pie extendido de la justicia muestra que siempre está lista para actuar, ayudando a reequilibrar y modificar un ciclo de eventos aparentemente establecido.
12;El Colgado;Malo;Cómodamente suspendido de un árbol con la forma de la letra hebrea tav (la letra de la carta del Mundo o Universo), el hombre colgado ha salido temporalmente del tiempo ordinario y ha entrado en el tiempo eterno. Su pose sugiere la práctica de añadir una perspectiva uni- versal a la terrestre. Su aureola y su pelo blanco indican que ha pasado por la puerta de la sabiduría. A pesar de estar atado, el ahorcado cuelga libremente, sugiriendo que una actitud expansiva hacia las restricciones de la vida tiene el potencial de liberarte. Las piernas del ahorcado apuntan al cielo, simbolizando nuestras verdaderas raíces.
13;La Muerte;Malo;La muerte monta un caballo que representa una elevación de estatus, simbolizando cómo la muerte es una experiencia de elevación de la conciencia: dejas atrás tu conciencia personal para verte a ti mismo y tus acciones objetivamente. Todos caen a los pies de la muerte, un recordatorio de que todo lo que nace finalmente muere. El sol que sale en el Este entre dos torres significa que la muerte es tan parte del ciclo de la vida como la salida y la puesta del sol. La conexión integral de la muerte con la vida – siendo parte del flujo natural de la vida – también se muestra por el agua en el fondo de la tarjeta, el flujo de vida visto por primera vez saliendo de la túnica de la Alta Sacerdotisa.
14;Templanza;Bueno;El arcángel Miguel está de pie con un pie en el agua y el otro en la tierra, sugiriendo que una base espiritual apoya su vida diaria y su crecimiento y desarrollo mundano apoya su crecimiento espiritual. Esto se ve de nuevo en el agua que fluye entre las dos copas del ángel, mezclando los elementos aparentemente contradictorios del espíritu arriba y la materia abajo. El arco iris sobre la cabeza promete que tendrás éxito en el trabajo espiritual que emprendas en esta vida.
15;El Diablo;Malo;El arcángel Uriel, que significa “Luz o Sombra del Altísimo”, se posa en su trono. En hebreo, los números se traducen en letras y viceversa. Usando este sistema, el número de carta para El Diablo, el número 15, se convierte en la palabra “Jah”, uno de los muchos nombres de la divinidad. El gesto de la mano de Uriel simboliza el valor de mirar más allá de las apariencias superficiales al único espíritu dentro de todo. La barba blanca del diablo insinúa que él es la sombra del Altísimo, lo que le permite aceptar su sombra, sus inmadureces. Si la divinidad puede tener sombra, tú también puedes. Aceptar tu humanidad te permite quitarte las cadenas del odio a ti mismo. Las cadenas sueltas alrededor de los humanos, que provienen del trono del diablo, implican que el mismo poder que parece estar restringiéndote te está liberando!. La similitud de la tarjeta con “Los Amantes” sugiere que pasar por el infierno crea una pasión por la libertad.
16;La Torre;Bueno;Debido a que la Torre de Babel fue construida sobre la falsa premisa de que la humanidad podía superar el poder divino, la divinidad la derribó. Cuando tú y yo somos demasiado orgullosos o inconscientes para dejar de lado ideas excesivamente egoístas y/o erráticas (o “torres”), el relámpago, un símbolo universal de intervención divina, ayuda a aligerar nuestra carga o a iluminarnos. La corona, las personas que caen y los cimientos erosionados muestran concepciones, construidas sobre principios humanos versus divinos, siendo desalojados por la sabiduría y comprensión universal.
17;La estrella;Bueno;Una mujer desnuda con las rodillas dobladas vierte agua en la tierra y en el agua mientras contempla meditada mente el estanque ondulante, símbolo de las aguas mágicas de la conciencia universal. Tanto el agua como la tierra la sostienen, sugiriendo que cuando buscas puntos de referencia espirituales en los que basar tu vida, aparecen. Mientras que la meditación y la oración – agitando el estanque de la mente universal – proporcionan la prueba de la existencia de la divinidad, el mundo físico ofrece la misma experiencia cuando se percibe con los sentidos que han sido espiritualizados por la oración y la meditación – aquellos que intentan ver, oír, sentir, probar, tocar y oler la divinidad en todo.
18;La Luna;Malo;Un cangrejo de río sale de un estanque, simbolizando el gran océano o matriz de la vida de la que todo se origina. Una bahía de lobos y perros en la luna, y todas las fases de la luna son visibles. Estos símbolos muestran que a medida que se viaja por la autopista hacia una mayor conciencia (el camino hacia las montañas distantes), se debe evolucionar a través de todos los estados de conciencia – nada puede ser evitado.
19;El Sol;Bueno; El sol se pone de niño, lleva una pluma (como hace El Loco), monta a caballo a pelo. Además de mostrar la toma de conciencia, montar a caballo sin silla ni brida simboliza el completo dominio del niño sobre sus instintos animales, visto por primera vez en la carta de la Fuerza. La pared en el fondo de la tarjeta afirma que se han superado grandes obstáculos, y como resultado, el “niño interior” ha sido curado.
20;El Juicio;Malo;El arcángel Gabriel, “Mensajero del Altísimo”, envía un llamado de despertar a aquellos que pueden escucharlo. La gente se eleva de sus cajas tipo ataúd, o de sus construcciones auto-limitadas muertas, hacia lo ilimitado. Saliendo de la realidad temporal a la realidad eterna, experimentan la vida. Tú y los demás son exactamente como deberían ser – la irreprochabilidad y la compasión reinan de manera suprema. Este cambio de perspectiva es como pasar de ver una película en una pantalla pequeña a una pantalla grande, de repente una imagen más grande se hace visible.
21;El Mundo;Malo;La mujer, o “bailarina” como se la llama a veces, se pone en el aire, simbolizando que el espíritu apoya sus esfuerzos. La carta se llama tanto El Mundo como El Universo. Al honrar sus obligaciones y responsabilidades mundanas, domina la vida mundana y gana el dominio libre espiritual, mostrado por la corona de la victoria. Los cuatro guardianes alados que rodean la Rueda de la Fortuna aparecen de nuevo, sugiriendo que al servir a los poderes que representan, ahora están a su servicio. Es una maga o maestra de la trans- formación en su sentido más completo – alguien capaz de entrar en la conciencia cósmica a voluntad.
